myosd_id,label,place_name,start_lat,start_lon,River_basin_Sea
521,MYOSD521_2016-06_1,•À_stl. Stollergrund,54.469783,10.23505,Baltic Sea
522,MYOSD522_2016-06_1,_stlicher Stollergrund,54.35761,10.14402,Baltic Sea
523,MYOSD523_2016-06_1,Eli Groden,53.717652,7.911538,North Sea
524,MYOSD524_2016-06_1,Hauptstrand Borkum,53.589692,6.655568,North Sea
525,MYOSD525_2016-06_1,"Schlei, Winnigmay",54.52838605,9.631712828,Schlei/trave
526,MYOSD526_2016-06_1,"M•À_ggelsee, Berlin",52.44152438,13.62232385,Elbe/Lake
527,MYOSD527_2016-06_1,"Hamburg, Elbe",53.528074,10.043571,Elbe
528,MYOSD528_2016-06_1,"•À_velg_nne, Hamburg",53.547143,9.864468,Elbe
529,MYOSD529_2016-06_1,"Uelzen, Ilmenau",52.985826,10.572966,Elbe
530,MYOSD530_2016-06_1,Geesthacht Elbe,53.4262398,10.3327733,Elbe
531,MYOSD531_2016-06_1,Flensburger F_rde,54.80906,9.45447,Baltic Sea
532,MYOSD532_2016-06_1,"Teufelsbr•À_ck, Hamburg",53.547176,9.867337,Elbe
535,MYOSD535_2016-06_1,"Ehemaliges Freibad oberspree, am Bruno-B•À_rgel-Weg, Spree",52.453797,13.550784,Elbe
536,MYOSD536_2016-06_1,"Weser, Bremen",53.061256,8.861528,Weser
539,MYOSD539_2016-06_1,Warnem•À_nde Strand,54.184084,12.085148,Baltic Sea
540,MYOSD540_2016-06_1,"Dresden, Pillnitz Treppe",51.004836,13.868495,Elbe
541,MYOSD541_2016-06_1,"Dahme, Berlin Seddinsee",52.377358,13.658048,Elbe
543,MYOSD543_2016-06_1,Herford / Aa,52.104983,8.654199,Weser
544,MYOSD544_2016-06_1,"Beeskow, Spree",52.1739771,14.2560607,Elbe
545,MYOSD545_2016-06_1,"Lache, Nebenarm der Saale, Kulmbacher Stra_e 80",50.6451891,11.3725311,Elbe
547,MYOSD547_2016-06_1,"Alster, Wulksfelder Weg, Wulksfelde",53.720051,10.116536,Elbe
