osd_id,ena_run_accession,sample_label,ena_sample_accession
144,ERR771069,OSD144_2014-06-24_0m_NPL022,ERS667522
143,ERR771070,OSD143_2014-06-21_1m_NPL022,ERS667523
142,ERR771071,OSD142_2014-06-21_1m_NPL022,ERS667526
141,ERR771072,OSD141_2014-06-20_5m_NPL022,ERS667528
133,ERR771074,OSD133_2014-06-21_0m_NPL022,ERS667532
132,ERR771075,OSD132_2014-06-22_0.5m_NPL022,ERS667533
131,ERR771076,OSD131_2014-06-21_1m_NPL022,ERS667534
130,ERR771077,OSD130_2014-06-21_1m_NPL022,ERS667535
129,ERR771079,OSD129_2014-06-21_10m_NPL022,ERS667536
128,ERR771080,OSD128_2014-06-21_1m_NPL022,ERS667537
127,ERR771081,OSD127_2014-06-21_10m_NPL022,ERS667538
126,ERR771082,OSD126_2014-06-21_1m_NPL022,ERS667539
125,ERR771083,OSD125_2014-06-21_0m_NPL022,ERS667540
124,ERR771084,OSD124_2014-06-21_5m_NPL022,ERS667541
122,ERR771086,OSD122_2014-06-22_0m_NPL022,ERS667544
118,ERR771087,OSD118_2014-06-24_0.2m_NPL022,ERS667548
117,ERR771088,OSD117_2014-06-21_0m_NPL022,ERS667549
116,ERR771089,OSD116_2014-06-21_0m_NPL022,ERS667550
115,ERR771090,OSD115_2014-06-21_0m_NPL022,ERS667551
114,ERR771091,OSD114_2014-06-21_50m_NPL022,ERS667552
113,ERR771092,OSD113_2014-06-21_39m_NPL022,ERS667553
111,ERR771093,OSD111_2014-06-21_0m_NPL022,ERS667554
110,ERR771094,OSD110_2014-06-21_0m_NPL022,ERS667555
109,ERR771095,OSD109_2014-06-20_0m_NPL022,ERS667556
108,ERR771096,OSD108_2014-06-20_0m_NPL022,ERS667557
107,ERR771097,OSD107_2014-06-20_0m_NPL022,ERS667558
106,ERR771098,OSD106_2014-06-20_15m_NPL022,ERS667559
105,ERR771100,OSD105_2014-06-21_4.12m_NPL022,ERS667561
103,ERR771101,OSD103_2014-06-21_0m_NPL022,ERS667562
102,ERR771102,OSD102_2014-06-21_0m_NPL022,ERS667563
101,ERR771103,OSD101_2014-06-21_0m_NPL022,ERS667564
100,ERR771104,OSD100_2014-06-22_1m_NPL022,ERS667565
99,ERR770958,OSD99_2014-06-21_1m_NPL022,ERS667567
97,ERR770960,OSD97_2014-06-21_0.5m_NPL022,ERS667570
96,ERR770961,OSD96_2014-06-21_0m_NPL022,ERS667571
95,ERR770962,OSD95_2014-06-21_0m_NPL022,ERS667572
94,ERR770963,OSD94_2014-06-21_0m_NPL022,ERS667573
93,ERR770964,OSD93_2014-06-21_2m_NPL022,ERS667574
92,ERR770965,OSD92_2014-06-21_2m_NPL022,ERS667575
91,ERR770966,OSD91_2014-06-21_2m_NPL022,ERS667576
90,ERR770967,OSD90_2014-06-21_2m_NPL022,ERS667577
81,ERR770969,OSD81_2014-06-21_0m_NPL022,ERS667579
80,ERR770970,OSD80_2014-06-21_2m_NPL022,ERS667580
80,ERR770971,OSD80_2014-06-21_0m_NPL022,ERS667582
78,ERR770972,OSD78_2014-06-21_0.5m_NPL022,ERS667583
77,ERR770973,OSD77_2014-06-20_0.5m_NPL022,ERS667585
76,ERR770974,OSD76_2014-06-20_0.5m_NPL022,ERS667586
74,ERR770975,OSD74_2014-06-21_1m_NPL022,ERS667588
73,ERR770976,OSD73_2014-06-21_1m_NPL022,ERS667589
72,ERR770977,OSD72_2014-07-21_0.8m_NPL022,ERS667591
71,ERR770978,OSD71_2014-06-21_0m_NPL022,ERS667592
70,ERR770979,OSD70_2014-06-21_0m_NPL022,ERS667593
69,ERR770981,OSD69_2014-06-21_0m_NPL022,ERS667594
65,ERR770982,OSD65_2014-06-20_0.1m_NPL022,ERS667595
