label	osd_id	local_date	water_depth	protocol	start_lat	start_lon	stop_lat	stop_lon
OSD72_2014-06-21_0.8m_NE08	72	2014-06-21	0.8	NE08	54.8333	10	54.8333	10
OSD73_2014-06-21_1m_NPL022	73	2014-06-21	1	NPL022	41.6835	-8.8341	41.6835	-8.8341
OSD74_2014-06-21_1m_NPL022	74	2014-06-21	1	NPL022	41.1416	-8.6668	41.1416	-8.6668
OSD76_2014-06-20_0.5m_NE08	76	2014-06-20	0.5	NE08	43.9475	12.935	43.9475	12.935
OSD76_2014-06-20_0.5m_NPL022	76	2014-06-20	0.5	NPL022	43.9475	12.935	43.9475	12.935
OSD77_2014-06-20_0.5m_NE08	77	2014-06-20	0.5	NE08	43.8514	13.0731	43.8514	13.0731
OSD77_2014-06-20_0.5m_NPL022	77	2014-06-20	0.5	NPL022	43.8514	13.0731	44	13
OSD78_2014-06-21_0.5m_NPL022	78	2014-06-21	0.5	NPL022	43.570	13.595	43.570	13.595
OSD80_2014-06-21_0m_NPL022	80	2014-06-21	0	NPL022	74.3100	-20.3043	74.3100	-20.3043
OSD80_2014-06-21_2m_NE08	80	2014-06-21	2	NE08	74.3100	-20.3043	74.3100	-20.3043
OSD80_2014-06-21_2m_NPL022	80	2014-06-21	2	NPL022	74.3100	-20.3043	74.3100	-20.3043
OSD81_2014-06-21_0m_NPL022	81	2014-06-21	0	NPL022	37.005053	-7.973119	37.005053	-7.973119
OSD87_2014-06-21_9m_NPL022	87	2014-06-21	9	NPL022	51.0953	1.3405	51.0953	1.3405
OSD90_2014-06-21_2m_NPL022	90	2014-06-21	2	NPL022	38.48435	21.31689	38.48435	21.31689
OSD91_2014-06-21_2m_NPL022	91	2014-06-21	2	NPL022	32.74675	-9.036667	32.74675	-9.036667
OSD92_2014-06-21_2m_NPL022	92	2014-06-21	2	NPL022	33.583917	-7.700639	33.583917	-7.700639
OSD93_2014-06-21_2m_NPL022	93	2014-06-21	2	NPL022	33.259611	-8.499222	33.259611	-8.499222
OSD94_2014-06-21_0m_NPL022	94	2014-06-21	0	NPL022	35.086353	-2.214658	35.086353	-2.214658
OSD95_2014-06-21_0m_NPL022	95	2014-06-21	0	NPL022	1.2685	103.9168	1.2726	103.9206
OSD96_2014-06-21_0m_NPL022	96	2014-06-21	0	NPL022	37.4257	-25.3156	37.4257	-25.3156
OSD97_2014-06-21_0.5m_NPL022	97	2014-06-21	0.5	NPL022	38.52970	-28.601778	38.52970	-28.601778
OSD98_2014-06-21_0.5m_NPL022	98	2014-06-21	0.5	NPL022	38.64	-28.13	38.64	-28.13
OSD99_2014-06-21_1m_NE08	99	2014-06-21	1	NE08	45.70092	13.71003	45.70092	13.71003
OSD99_2014-06-21_1m_NPL022	99	2014-06-21	1	NPL022	45.70092	13.71003	45.70092	13.71003
OSD100_2014-06-22_20m_NPL022	100	2014-06-22	20	NPL022	35.35	25.29	35.35	25.29
