00000508,terrace
00000509,marine terrace
00000510,meander neck
00000511,blanket bog
00000512,pond bed
00000513,reservoir bed
00000514,crater
00000515,road cut
00000516,hammock
00000517,lost stream
00000518,ditch mouth
00000519,agricultural terrace
00000520,landslide
00000521,rockfall
00000522,canal tunnel
00000523,cutoff
00000524,abandoned watercourse
00000525,canalized stream
00000526,cleft
00000527,interfluve
00000528,ice cap ridge
00000529,beach ridge
00000530,apron
00000531,ice cap depression
00000532,intermittent saline evaporation pond
00000533,landfill
00000534,pothole
00000535,weir
00000536,moatan
00000537,boulder field
00000538,arrugado
00000539,sill
00000540,brackish lake
00000541,brackish pond
00000542,kame
00000543,swale
00000544,leat
00000545,shingle beach
00000546,lake sediment
00000547,waterhole
00000548,gravel field
00000549,intermittent water body
00000550,range of seamounts
00000551,endorheic basin
00000552,talik
00000553,multipurpose dam
00000554,saddle dam
00000555,check dam
00000556,wing dam
00000557,dry dam
00000558,diversionary dam
00000559,weapons test site
00000560,nuclear weapons test site
00000561,military training area
00000562,park
00000563,pier
00000564,archeological site
00000565,sports facility
00000566,winter sports facility
00000567,calanque
00000569,marine habitat
00000570,brackish water habitat
00000571,arboreal habitat
00000572,subterrestrial habitat
00000856,city
00000873,freshwater biome
00000887,Large river biome
00000888,Large river headwater biome
00000889,Large river delta biome
00000890,Small river biome
00000891,Large lake biome
00000892,Small lake biome
00000893,Xeric basin biome
00001995,rock
00001996,mine drainage
00001997,acid mine drainage
00001998,soil
00001999,marine water body
00002000,slope
00002001,waste water
00002002,food product
00002003,feces
00002004,mesoscopic physical object
00002005,air
00002006,water
00002007,sediment
00002008,dust
00002009,terrestrial habitat
00002010,saline water
00002011,fresh water
00002012,hypersaline water
00002013,igneous rock
00002014,plutonic rock
00002015,volcanic rock
00002016,sedimentary rock
00002017,metamorphic rock
00002018,sewage
00002019,brackish water
00002023,high pressure habitat
00002024,haline habitat
00002025,high temperature habitat
00002026,cold temperature habitat
00002027,extreme high temperature habitat
00002028,high osmolarity habitat
00002029,extraterrestial habitat
00002030,aquatic biome
00002032,organism-associated habitat
00002033,carcass
00002034,biofilm
00002035,meteorite
00002036,habitat
00002040,wood
00002041,ground water
00002042,surface water
00002043,wastewater treatment plant
00002044,sludge
00002045,anaerobic sediment
00002046,activated sludge
00002047,urine
00002048,chondrite
00002049,stony meteorite
00002050,achondrite
00002051,stony-iron meteorite
00002052,iron meteorite
00002053,limestone
00002054,chalk
00002055,sandstone
00002056,shale
00002057,raw primary sludge
00002058,secondary sludge
00002059,biosolids
00002060,oil sludge
00002061,oil spill
00002063,oil seep
00002112,gold mine drainage
00002113,marine sediment
00002114,contaminated sediment
00002115,petroleum contaminated sediment
00002116,contaminated soil
00002117,creosote contaminated soil
00002118,sea sand
00002119,alkaline hot spring
00002120,acid hot spring
00002121,alkaline salt lake
00002122,arsenic-rich mud
00002123,bioreactor
00002124,anaerobic bioreactor
00002125,anaerobic dechlorinating bioreactor
00002126,aerobic bioreactor
00002127,stream sediment
00002128,mesophilic sulfur spring
00002129,anaerobic sludge
00002130,hypolimnion
00002131,epilimnion
